,리뷰어,리뷰 날짜,리뷰 텍스트
0,0_** ,22.03.14,"고고싱 옷은 늘 가격대비 퀄리티가 좋다고 생각합니다, 자켓도 생각보다 퀄리티있었습니다 다만 옷 상태가 그래도 돈주고 산건데..먼지 투성이에 새상품 아닌 중고장에서 주워온것같은 상태로 배송이 와서 쇼핑한 기분은 안났습니다, 배송 과정에서 옷이 구겨진 정도가 아니라 재고관리 상태가 너무도 나빠서 불편했습니다..처음으로 쇼핑하고 실망했네요"
1,le** ,23.11.03,키가 작다보니 큰 자켓은 싫어서 고민을 많이 했어요. 이 제품은 제가 본 자켓중에서도 작은 편인데 가격까지 너무 착해서 믿어도 되나 싶었어요. 입어봤는데 전체적으로 작아서(특히 팔) 안에 두꺼운 옷은 못 입겠더라구요. 그래도 저는 대만족이에요! 핏 괜찮은 검정색 자켓 가져서 좋습니다. 다만 어깨패드는 빼야할 것 같네요ㅠㅠ
2,jj** ,23.09.13,"허리라인이 있는지 몰랐는데 살짝 허리라인이 있어서 오버핏, 캐쥬얼보다 약간 정장같은 느낌이 있어요. 그래서 쫌 아쉽기는한데 그래도 가격대비 만족해요^^"
3,br** ,22.05.16,"요즘 자켓이 사고싶어져서 여기저기 찾아봤는데 , 체구가 작다보니 입으면 죄다 아빠양복 자켓 크기라 고민하고 있었는데 역시 고고싱 👍🏻 평소에 이 사이트가 저랑 맞는게 많아 자주 시키는데 , 이번에도 배송도 하루만에 오고 !! 그리고 제 체구에 맞는옷이 진짜 잘 없는데 여기 xs사이즈는 저랑 총장이 딱 맞더라구요 .. !! 두께도 그렇게 많이 안두껍고 ㅎㅎ 그래서 진짜 여러가지로 넘 좋았다는 :) 그런데 팔길이는 조금 길어서 수선하고 , 어깨뽕도 계속 입다보면 조금 부담스러울거같아서 제거를 했는데 , 제거 하고 입는게 훨 낫네요 ㅋㅋ 입으실분들 , 제거하고 입으시는거 추천합니당 !!  ( 길이랑 이런건 사진 참고하시면 될것같아요 . 그런데 옷 가격이 19000원인데 수선비가 15000원 든건 안비밀 .. ) 
아 그리고 단점은 .. 그 팔을 안올렸을땐 괜찮은데 , 올렸을땐 가오리 마냥 삼각형 되는거랑 .. 다른분 후기에도 많이 있던데 뒤에 펭귄꼬리 처럼 되는 .. 그런 삼각형 가오리 핏이 나온다는게 단점인것같네용 .. 
-그리고 많이 구겨져서 온다고 다른후기에 있는걸 봤는데 , 제껀 다행히 그렇게 많이 주름이 져서 오진 않았어요 ( 타 사이트에서 이거보다 더 많이 구겨져서 온걸 봐서 .. ㅋㅋ ) 
암튼 체격 작으신 분들이 입기에 사이즈나 전체적인 핏은 괜찮은거같아요 X ) 추천합니당 !!
( 사고나서 후기 쓰려고 들어가보니 며칠사이에 500원 세일하네요 .. ㅎ  차피 이번주에 사면 더워서 거의 입지도 못할테니 .. 그리고 500원 차이니까요 뭐 ㅎㅎ )
이거저거 적다보니 후기가 길어졌네요 ㅠㅠ .. 제 글이 미약하게나마 도움이 되셨음 좋겠습니다 :)"
4,es** ,22.04.21,솔직히 재질이 좋다곤 얘기 못하겠지만 이만한 가격에 이런 자켓 구하기는 힘들듯.. 안에 두꺼운 옷 입어도 넉넉할것같아서 좋아요 세모로 떨어지는 끝부분 핏은 쪼끔 아쉬운데 팔 안벌릴땐 또 상관없어짐
5,do** ,23.10.08,"기본 검은 블레이저가 활용도가 좋아서 사고싶어서 이 기회에 구매했습니다!
솔직한 후기는요,
키150 몸무게 40한테 큰 오버핏이어서
캐주얼하게 입기에는 길이가 괜찮고, 저는 쪼금 길이를 줄이려고합니다.
그리고, 정말 얇습니다. 몸을 돌렸을 때 자켓이 가벼워보이는 티가 나서, 주머니에 얇고 네모난 물체를 넣어서 각을 잡았습니다..ㅎ 넣었더니 너무 괜찮아서 진짜로 만족합니다!
그리고 구김이 가지만, 검은색이어서 자세히 봐야 티나긴 합니다.
ㅎㅎ 잘 입겠습니답"
6,bg** ,23.10.06,"와... 이 가격에 이 퀄리티 맞아요?
진짜 얇을 것 같고 별 기대 안 했는데 생각보다 퀄리티가 너무 좋아요!!!!
실밥 삐져나온 것도 하나 없고 진짜 다 완벽해요
길이도 160 기준 엉덩이 바로 밑! 딱 좋아용
그리고 얇지도 않아서 가을에 입기 딱 좋아요!!!!
다만 목부분 카라 구김이 좀 있어서 아쉽긴 한데 진짜 좋네요. 살까 말까 고민 겁나 했는데 바로 사세요 진짜!!!"
7,yh** ,21.09.26,"재질도 엄청 탄탄하고 요즘같은 일교차 큰 날씨에 입기 딱 좋아요 키168인데 엉덩이 반정도 가려집니다! 소매는 팔이 긴분들은 좀 짧다고 느껴지실 거 같아요! 
저는 딱 괜찮았습니당!! 입었을때 부해보이지도 않고 딱 좋았어용"
8,da** ,23.10.02,정장을 입는 타입은 아닌데 나이를 먹으면서 단정한 자켓이 꼭 필요해져서 구매 하게 됐어요 블랙 불레이저는 워낙 무난템이다보니 요기서 살지 저기서 살지 엄청 고민 했는데 사길 잘 했다고 생각 중이에요! 퀄리티가 괜찮아요
9,rn** ,23.11.01,급하게 필요해서 산 자켓인데 키 156 기준 엉덩이 살짝 가려요 입었을때 단정하고 깔끔해 보이구요!! 손등은 살짝 가리는게 조금 커보이긴 하는데 오버핏 다른 자켓들보단 제 체구에 훨 나아요ㅠ 추천합니다~
10,da** ,23.08.08,딱 원하던 색깔이에요! 너무 밝은 회색은 원하지 않았는데 짙은 검정에 가까운 차콜이라 좋았습니다! 기장도 좋고 품도 여유롭게 잘 맞아요. 포장상태도 좋았는데 처음에 냄새가 너무 역해서 좀 빠지길 기다려야 할 것 같네요. 그래도 마감처리 좋고 가격대비 좋아보여서 오래 입겠어요 굿굿
11,al** ,23.04.16,기본 검정 블레이저가 없어서 구매해봤습니다 길이는 엉덩이 덮는 기장감이고 팔은 딱 떨어지는 것 같아요 어깨라인 잡아줘서 이쁘고요 와이드하게 입을때 더 잘 어울리는 것 같아요! 아주 만족 중 입니당 손이 자주가요
12,mi** ,23.04.02,"어깨가 직각이고 넓은 편이라 너무 오버핏이면 어깨가 태평양같을 것 같고, 또 너무 딱 맞으면 너무 차려입은 느낌이 날 것 같아서 약간 오버핏인 자켓을 찾고 있었는데요! 딱 이 자켓이 그런 느낌인 것 같아요

약간 오버핏이라 어디에든 휘뚜루마뚜루 잘 입을 수 있고, 어깨가 엄청 넓어보이지 않아서 저처럼 어깨가 좀 있으신 분들도 부담없이 입으실 수 있을 것 같아요

근데 날씨가 갑자기 더워져서 저녁에나 입어야될 것 같아요
더 더워지기 전에 얼른 실컷 입어야겠어요

아 글고 요즘 너무 잘 먹어서 54키로까지 쪘는데욥! 저는 보통 팔뚝과 허벅지에 살이 붙는 편인데도 이 자켓 입으면 하나도 살 안쪄보여요 헤헿"
13,iu** ,23.11.01,"키 작고 마른 체형인 분들은 이 자켓이 짱입니다… 당장 사세요… 몇년 전부터 살짝 오버핏인 자켓 사고싶어서 여기저기 사봤는데 아빠정장 빌려입은 것마냥 어깨나 품이 다 커서 반품만 5-6벌 했었는데 요걸로 정착했습니다…  어깨도 살짝 보완하는 정도고 카라도 너무 크거나 작지도 않은 사이즈여서 캐주얼과 정장 다 괜찮아요! 기본적이지만 요즘은 해주면 고마운…소매 버튼도 진짜고 뒷부분 갈라진 것도 살짝 뜨긴 하지만 괜찮은 정도에요. 색상은 회색 골랐는데 딱 예쁜 회색인 것 같슴다! 추천추천,,
아 얆기는 딱 가을자켓이에요! "
